"observationID","fullVersion","datasetKey","surveyKey","sampleKey","observationKey","siteKey","siteName","featureID","location","resolution","taxonVersionKey","pTaxonVersionKey","pTaxonName","pTaxonAuthority","startDate","endDate","sensitive","absence","publicAttribute","dateTypekey","latitude","longitude"
"284665332","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16489323-105552953","NBN-SITE-GA000656-9668350","Site name unavailable","1181740","SK015585","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1241199369203,-1.97829173590584
"284687023","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16493230-105553232","NBN-SITE-GA000656-9672257","Site name unavailable","1273835","SK072566","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1069950793223,-1.89315740955138
"284722995","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16494012-105552924","NBN-SITE-GA000656-9673039","Site name unavailable","1007484","SK083572","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1123726210756,-1.87671098234203
"284731582","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16489484-105554227","NBN-SITE-GA000656-9668511","Site name unavailable","1633282","SK017546","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0890622553404,-1.97532294100839
"284823282","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16489699-105549114","NBN-SITE-GA000656-9668726","Site name unavailable","1592430","SK020500","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0477115796837,-1.97087126224552
"284823283","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16489699-105552397","NBN-SITE-GA000656-9668726","Site name unavailable","1592430","SK020500","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0477115796837,-1.97087126224552
"284875516","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16490246-105555107","NBN-SITE-GA000656-9669273","Site name unavailable","1006923","SK027502","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0495064055121,-1.96042784462983
"284901863","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16494085-105553077","NBN-SITE-GA000656-9673112","Site name unavailable","520050","SK084584","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.1231578247656,-1.8751858947634
"284941475","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16493864-105553239","NBN-SITE-GA000656-9672891","Site name unavailable","1942461","SK081516","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0620372037959,-1.87983879009149
"285032118","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","61049","NBN-SITE-GA000656-9671825","Site name unavailable","1387064","SK065502","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0494741717935,-1.90374157875336
